IndividualID,SiteID,Country,Latitude,Longitude,Period,PhaseID,gaussianModelMu,gaussianModelSigma,YearBP,RiteID,Culture,Sex,DepositionType,Dismembered,Head,BodyPositioning,BurialSide,BurialOrientationMin,BurialOrientationMax,GraveGoods,Ochre,DepositionType_bog body,DepositionType_cenotaph,DepositionType_cremation,DepositionType_disarticulated,DepositionType_inhumation,DepositionType_inhumation: carbonized,BodyPositioning_crouched,BodyPositioning_extended,"BodyPositioning_extended, rhomboid",BodyPositioning_heap,BodyPositioning_inside a vessel,BodyPositioning_irregular,BodyPositioning_prone,BodyPositioning_scattered,BodyPositioning_sitting,BurialSide_back,BurialSide_back/left,BurialSide_back/right,BurialSide_bottom,BurialSide_front,BurialSide_front/left,BurialSide_front/right,BurialSide_left,BurialSide_left/back,BurialSide_left/front,BurialSide_right,BurialSide_right/back,BurialSide_right/front,CitationID,aDNAID,Num,ANCE1_v2,ANCE2_v2,ANCE3_v2,ANCE4_v2,ANCE5_v2,ANCE6_v2,ANCE7_v2,ANCE8_v2,ANCE9_v2,mobility_MDS_250y_retrospective,mobility_PCA_250y_retrospective,AncestryMatch_distance,MobilityMatch_distance,aDNACitationID,time_added,user_added,time_last_update,user_last_update
C00021,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00021,Linearbandkeramik,0,inhumation,0,1,crouched,left,127,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,I18111,3149,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00022,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00022,Linearbandkeramik,1,inhumation,0,1,crouched,left,155,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,I14599,3042,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost
C00023,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00023,Linearbandkeramik,0.5,inhumation,0,1,crouched,left,135,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,I16009,3074,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost
C00024,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00024,Linearbandkeramik,1,inhumation,0,1,crouched,left,160,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,I17339,3128,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00025,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00025,Linearbandkeramik,0,inhumation,0,1,crouched,left,155,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,I18097,3146,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00026,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00026,Linearbandkeramik,0,inhumation,0,1,crouched,left,135,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,I11872,2983,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00027,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00027,Linearbandkeramik,0,inhumation,0,1,crouched,left,100,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,I25201,3213,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00028,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00028,Linearbandkeramik,0.5,inhumation,0,1,crouched,left,0,90,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,,8,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00029,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00029,Linearbandkeramik,0.5,inhumation,0,1,crouched,left,134,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,I16012,3077,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost
C00030,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00030,Linearbandkeramik,0.5,inhumation,,,,,,,,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,pavúk1972a,I14179,3027,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
