"SiteID","Latitude","Longitude","PhaseID","gaussianModelMu","gaussianModelSigma","aDNAID","aDNACitationID","DepositionType","RiteID","IndividualID","Dismembered","Head","BodyPositioning","BurialSide","BurialOrientationMin","BurialOrientationMax","GraveGoods","Ochre","CitationID","time_added","user_added","time_last_update","user_last_update"
"S10567","48.280","18.090","NITRHK1","7052","102","I18144","gelab2023a","inhumation","R00036","C00036","0","1","crouched","left","116",\N,"0","1","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00037","C00037","0","1","crouched","left","146",\N,"0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I17538","gelab2023a","inhumation","R00038","C00038","0","1","crouched","left","166",\N,"0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I16014","gelab2023a","inhumation","R00039","C00039","0","1","crouched","left","135","225",\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I17539","gelab2023a","inhumation","R00040","C00040","0","1","crouched","left","144",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00041","C00041","0","1","crouched","left/back","158",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I16242","gelab2023a","inhumation","R00042","C00042","0","1","crouched","left","149",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00043","C00043","0","1","crouched","right","137",\N,"0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I16013","gelab2023a","inhumation","R00044","C00044","0","1","crouched","left","145",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I14600","gelab2023a","inhumation","R00045","C00045","0","1","crouched","right","160",\N,"0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00046","C00046",\N,\N,"crouched",\N,"90","180","0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I16240","gelab2023a","inhumation","R00047","C00047","0","1","crouched","left","117",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I11873","gelab2023a","inhumation","R00048","C00048","0","1","crouched","left","89",\N,"0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I16007","gelab2023a","inhumation","R00049","C00049","0","1","crouched","left","89",\N,"0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I14178","gelab2023a","inhumation","R00050","C00050","0","1","crouched","left","89",\N,"0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00051","C00051",\N,\N,"crouched","left","45","135","0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I25175","gelab2023a","inhumation","R00052","C00052","0","1","crouched","left/back","174",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I25176","gelab2023a","inhumation","R00053","C00053","0","1","crouched","left","227",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I16011","gelab2023a","inhumation","R00054","C00054","0","1","crouched","left","97",\N,"0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
