IndividualID;Culture;Period
C10308;\N;Neolithic
C10309;\N;Neolithic
C10310;\N;Neolithic
C10311;\N;Neolithic
C10312;\N;Mesolithic
C10313;\N;Mesolithic
C10314;\N;Mesolithic
C10315;\N;Bronze Age
C10320;\N;Mesolithic
C10345;\N;Neolithic
C10348;\N;Neolithic
C10349;\N;Neolithic
C10350;\N;Neolithic
C10352;\N;Neolithic
C10353;\N;Neolithic
C10354;\N;Neolithic
C10356;\N;Neolithic
C10357;\N;Neolithic
C10374;\N;Mesolithic
C10375;\N;Mesolithic
C10376;\N;Mesolithic
C10377;\N;Mesolithic
C10378;\N;Mesolithic
C10379;\N;Mesolithic
C10380;\N;Mesolithic
C10381;\N;Mesolithic
C10382;\N;Mesolithic
C10383;\N;Mesolithic
C10384;\N;Mesolithic
C10385;\N;Mesolithic
C10386;\N;Mesolithic
C10397;\N;Mesolithic/Neolithic
C10398;\N;Mesolithic/Neolithic
C10399;\N;Mesolithic/Neolithic
C12000;\N;Neolithic/Bronze Age
C12001;\N;Bronze Age
C12002;\N;Bronze Age
C12003;\N;Bronze Age
C12004;\N;Bronze Age
C12005;\N;Bronze Age
C12006;\N;Bronze Age
C12007;\N;Bronze Age
C12008;\N;Bronze Age
C12009;\N;Bronze Age
C12010;\N;Bronze Age
C12011;\N;Bronze Age
C12012;\N;Bronze Age
C12017;\N;Bronze Age
C12018;\N;Bronze Age
C12019;\N;Bronze Age
C12020;\N;Bronze Age
C12021;\N;Bronze Age
C12022;\N;Bronze Age
C12023;\N;Bronze Age
C12025;\N;Iron Age
C12026;\N;Iron Age
C12027;\N;Iron Age
C12028;\N;Iron Age
C12029;\N;Iron Age
C12030;\N;Iron Age
C12031;\N;Iron Age
C12035;\N;Neolithic
C12036;\N;Neolithic
C12037;\N;Neolithic
C12038;\N;Neolithic
C12039;\N;Neolithic
C12063;\N;Neolithic
C12064;\N;Mesolithic
C12065;\N;Mesolithic
C12069;\N;Neolithic
C12070;\N;Neolithic
C12071;\N;Neolithic
C12072;\N;Neolithic
C12073;\N;Neolithic
C12074;\N;Neolithic
C12075;\N;Neolithic
C12099;\N;Bronze Age
C12103;\N;Bronze Age
C12104;\N;Neolithic
C12110;\N;Neolithic
C12118;\N;Bronze Age
C12123;\N;Bronze Age
C12124;\N;Bronze Age
C12129;\N;Bronze Age
C12130;\N;Bronze Age
C12131;\N;Bronze Age
C12132;\N;Bronze Age
C12133;\N;Bronze Age
C12134;\N;Bronze Age
C12135;\N;Bronze Age
C12136;\N;Bronze Age
C12137;\N;Bronze Age
C12138;\N;Bronze Age
C12139;\N;Bronze Age
C12140;\N;Bronze Age
C12493;\N;Mesolithic
C12494;\N;Mesolithic
C12523;\N;Neolithic
C12524;\N;Neolithic
C12525;\N;Neolithic
C12526;\N;Neolithic
C12527;\N;Neolithic
C12528;\N;Neolithic
C12529;\N;Neolithic
C12530;\N;Neolithic
C12531;\N;Neolithic
C12532;\N;Neolithic
C12533;\N;Neolithic
C12534;\N;Neolithic
C12535;\N;Neolithic
C12536;\N;Neolithic
C12537;\N;Neolithic
C12538;\N;Neolithic
C12539;\N;Neolithic
C12540;\N;Neolithic
C12541;\N;Neolithic
C12542;\N;Neolithic
C12543;\N;Neolithic
C12544;\N;Neolithic
