IND	LAT	LON	TIME	ANCE1	ANCE2	ANCE3	ANCE4	ANCE5	ANCE6	ANCE7	ANCE8	ANCE9
VK154	52.6839267348405	18.8925713259261	850	0.001831	0.36018	0.008002	0.155619	1e-05	0.46707	1e-05	0.007267	1e-05
VK156	52.721568785049	18.9048063172493	850	0.002196	0.357704	1e-05	0.168636	0.001093	0.458742	0.004061	0.007549	1e-05
VK157	52.6329118824098	18.851925751986	850	0.002468	0.340287	1e-05	0.174874	0.005126	0.460535	1e-05	0.01668	1e-05
VK494	50.7594323999435	21.6869699699804	850	1e-05	0.351234	1e-05	0.187838	1e-05	0.435659	0.009891	0.015337	1e-05
cim359	47.4697217778489	29.1366220585164	2873	0.020881	0.309158	1e-05	0.058111	1e-05	0.162454	0.155562	0.091369	0.202444
cim358	46.4715466268267	29.5395854621287	2840	0.016593	0.333988	1e-05	0.044773	0.001847	0.258723	0.090242	0.147877	0.105946
cim357	46.3453945338633	29.4563495030254	2809.5	0.016085	0.389803	1e-05	0.082909	0.004308	0.311226	0.025881	0.121829	0.047949
scy305	46.6492857722379	29.704990142351	2254	0.001322	0.239417	1e-05	0.070537	0.003698	0.56532	0.005799	0.105365	0.008532
scy300	46.7523746727314	29.8822021139786	2253	0.003838	0.197889	0.002456	0.065693	1e-05	0.622523	1e-05	0.090761	0.01682
scy192	46.5883814773336	29.8735590744298	2250	1e-05	0.171881	1e-05	0.080409	0.010315	0.577805	0.003112	0.138602	0.017857
scy197	46.6724396161549	29.8984884131234	2250	1e-05	0.191537	0.000263	0.070143	1e-05	0.609	0.005965	0.114743	0.00833
scy301	46.7290680020861	29.842339006206	2247.5	0.01201	0.27787	1e-05	0.063343	1e-05	0.430817	0.025748	0.15646	0.033733
scy311	46.7320725675486	29.8237082018517	2246.5	0.005956	0.263304	1e-05	0.058992	0.002353	0.476749	0.025806	0.149074	0.017757
scy303	46.651380322529	29.8727569988463	2241.5	1e-05	0.340316	1e-05	0.176558	0.003411	0.447623	1e-05	0.032052	1e-05
Ukraine_HG1	47.3557405354641	35.3772547370009	10643	0.008124	0.441793	1e-05	0.499493	1e-05	0.050539	1e-05	1e-05	1e-05
NEO501	48.2370990452822	35.1703808893263	10623	0.014459	0.549773	1e-05	0.4015	1e-05	0.034219	1e-05	1e-05	1e-05
NEO521	48.4545166631695	35.1002135559358	8264	0.019355	0.464916	1e-05	0.464034	1e-05	0.051645	1e-05	1e-05	1e-05
NEO516	48.3069741507992	35.105475937007	7095	0.014494	0.451244	1e-05	0.491473	1e-05	0.04274	1e-05	1e-05	1e-05
NEO270	47.3573337963969	34.2389738701563	7297	0.006448	0.419098	1e-05	0.508734	1e-05	0.06567	1e-05	1e-05	1e-05
Ukraine_N1	48.0418320349138	35.1516966538224	7250	0.013219	0.561054	1e-05	0.413369	1e-05	0.012308	1e-05	1e-05	1e-05
NEO498	48.0511783513892	35.0957654631417	7059	0.012361	0.414937	0.005645	0.523429	0.001603	0.041994	1e-05	1e-05	1e-05
NEO552	48.2185455179494	35.1552414628863	6898	0.008046	0.435089	1e-05	0.501777	1e-05	0.055038	1e-05	1e-05	1e-05
NEO507	48.1201035325602	35.0460783817526	6885	0.0117	0.431858	1e-05	0.499048	1e-05	0.057344	1e-05	1e-05	1e-05
NEO528	48.2191986832954	35.0013843303267	6839	0.01153	0.430353	1e-05	0.516008	1e-05	0.042059	1e-05	1e-05	1e-05
NEO503	48.0881984033342	35.1554278170876	6708	0.004938	0.405659	1e-05	0.522289	1e-05	0.067064	1e-05	1e-05	1e-05
NEO502	48.0802068727743	35.1405551506393	6610	1.9e-05	0.432105	1e-05	0.503258	1e-05	0.060893	1e-05	1e-05	0.003685
NEO304	47.969222054584	35.3780369303282	7011	0.01342	0.42299	0.005168	0.522924	1e-05	0.035458	1e-05	1e-05	1e-05
NEO302	47.9528044278733	35.2968627854809	6826	0.006164	0.449928	0.000447	0.46972	1e-05	0.067574	1e-05	0.004622	0.001526
NEO300	48.0206912044901	35.4394975730311	6678	0.012449	0.433326	0.00113	0.502016	1e-05	0.049639	1e-05	1e-05	0.00141
NEO509	48.387871335214	35.0616958266962	4065	0.001499	0.31877	0.002017	0.356671	0.005164	0.26946	0.005926	0.040482	1e-05
MJ-06	49.3796111392602	35.402982376311	4629.5	0.014405	0.545817	1e-05	0.098498	1.7e-05	0.22019	1e-05	0.117621	0.003432
MJ-09	47.4525877892226	34.2537799708825	4285.5	0.009135	0.54986	1e-05	0.106262	1e-05	0.219208	1e-05	0.115495	1e-05
MJ-31	47.0301070879027	32.0461128480267	3119.5	1e-05	0.461519	1e-05	0.137172	0.001581	0.311199	1e-05	0.088489	1e-05
MJ-12	45.2508324760292	28.3842066512816	2861	0.002904	0.212561	1e-05	0.075478	1e-05	0.603672	1e-05	0.105345	1e-05
MJ-32	49.875869972473	35.3648608011287	2547	0.008039	0.401653	1e-05	0.060372	1e-05	0.251568	0.061512	0.115075	0.101761
MJ-08	49.2923024392407	35.3533638688549	2596	2.5e-05	0.438764	1e-05	0.126337	1e-05	0.376527	1e-05	0.058307	1e-05
MJ-14	49.4376819554623	30.8770243291277	2612.5	0.005818	0.33684	1e-05	0.180525	0.001202	0.449065	1e-05	0.026521	1e-05
MJ-16	49.3323188800272	30.808990815049	2534.5	0.009784	0.323906	1e-05	0.113925	0.004167	0.354451	0.028099	0.129177	0.036481
scy010	46.3882679422665	29.5482124781981	2618.5	0.00653	0.295277	1e-05	0.152205	1e-05	0.461856	1e-05	0.084092	1e-05
scy009	46.2954952915479	29.4000295846537	2549.5	1e-05	0.269503	0.000493	0.203603	1e-05	0.471757	1e-05	0.054604	1e-05
MJ-35	50.2746231319755	35.3615928029735	2529.5	0.012229	0.342624	1e-05	0.095013	1e-05	0.347384	0.018072	0.143504	0.041155
MJ-13	50.2246210887469	35.3435893701017	2527.5	0.008059	0.34217	1e-05	0.151551	0.001156	0.414623	1e-05	0.074281	0.00814
MJ-34	49.855922203688	35.2481699940003	2241.5	0.002235	0.313601	1e-05	0.100462	1e-05	0.38881	0.020982	0.134705	0.039185
scy011	49.0610639590491	30.1072397282533	2183	0.016339	0.340786	1e-05	0.087177	0.00422	0.344377	0.03385	0.1323	0.04094
MJ-46	47.3679359421786	34.2378323832806	2223	0.021516	0.343229	1e-05	0.06479	0.000314	0.370963	0.028093	0.124512	0.046573
NEO518	48.4273567394353	35.1197677896731	2156	0.03265	0.366947	1e-05	0.065489	1e-05	0.293846	0.041208	0.158359	0.041481
MJ-37	49.8660074125323	34.0400388348848	1635.5	1e-05	0.307715	1e-05	0.125694	0.002352	0.511746	0.000315	0.051619	0.000539
MJ-19	48.8729247505311	30.4857108900696	1554	0.000841	0.341382	1e-05	0.153841	1e-05	0.446202	0.001613	0.052816	0.003284
VK539	51.3048422381561	31.223925116444	800	1e-05	0.348938	1e-05	0.148615	0.00039	0.468948	0.015971	1e-05	0.017108
VK542	51.4533798529394	31.3704651736096	800	1e-05	0.309988	0.007586	0.145868	0.0037	0.458713	0.000766	0.072946	0.000423
Ker1	45.3557700977288	36.4540463136882	1621.5	0.005547	0.180823	0.000324	0.018134	8.1e-05	0.497677	0.017945	0.270006	0.009463
VK541	50.6874985314067	25.2734442594741	250	1e-05	0.299149	0.004317	0.154097	0.004798	0.451898	0.003108	0.072788	0.009835
Sidelkino	54.5258581026644	51.142418207312	11258.5	0.042607	0.677294	1e-05	0.272188	1e-05	1e-05	1e-05	1e-05	0.00786
NEO202	61.275410736287	38.9533967716526	10884	0.0416	0.659464	1e-05	0.298876	1e-05	1e-05	1e-05	1e-05	1e-05
NEO539	59.7276346465573	39.532598741632	10060	0.022422	0.68626	1e-05	0.291257	1e-05	1e-05	1e-05	1e-05	1e-05
NEO100	51.503380386373	53.7499286988005	9929	0.055702	0.690495	1e-05	0.241544	1e-05	1e-05	1e-05	1e-05	0.012209
NEO536	59.6794919876382	39.5125693746377	9541	0.02792	0.658554	1e-05	0.313466	1e-05	1e-05	1e-05	1e-05	1e-05
NEO87	56.6743726180214	38.0141354015376	8259	0.028453	0.654999	1e-05	0.306241	1e-05	0.003016	1e-05	1e-05	0.00725
NEO88	56.6490276279207	38.0709913576301	7871	0.032599	0.686925	0.003158	0.262382	0.003059	1e-05	1e-05	0.002031	0.009826
Karelia	61.7070325159468	35.569023391325	8279.5	0.064448	0.692556	1e-05	0.230768	1e-05	1e-05	1e-05	1e-05	0.012178
NEO555	60.3766274369229	38.9664402113017	8280	0.045105	0.709901	0.002001	0.237956	0.004997	1e-05	1e-05	1e-05	1e-05
NEO559	60.4329078823701	38.907388798818	8268	0.03437	0.712387	1e-05	0.242913	1e-05	1e-05	1e-05	1e-05	0.01028
NEO560	60.4172085196618	38.9024474459887	7919	0.032421	0.694172	0.003265	0.259858	1e-05	1e-05	1e-05	1e-05	0.010244
NEO557	60.4525587924663	38.9831461628154	7917	0.02728	0.702804	0.006339	0.245561	1e-05	0.003263	1e-05	1e-05	0.014724
NEO556	60.4174731010012	38.9582646090258	7036	0.02101	0.571135	1e-05	0.407795	1e-05	1e-05	1e-05	1e-05	1e-05
NEO185	56.7649343818147	40.4399260212667	7034	0.017058	0.615127	1e-05	0.366372	1e-05	1e-05	1e-05	1e-05	0.001392
NEO186	56.8208308580052	40.4567720547784	6922	0.025842	0.625963	1e-05	0.348135	1e-05	1e-05	1e-05	1e-05	1e-05
NEO180	56.829503019359	40.4982297317125	5947	0.024077	0.640347	1e-05	0.335516	1e-05	1e-05	1e-05	1e-05	1e-05
NEO195	56.7760998005234	40.479854827188	5749	0.014577	0.655055	1e-05	0.32433	1e-05	1e-05	1e-05	1e-05	0.005988
NEO189	56.7868209522869	40.4546733720694	5648	0.031335	0.629628	1e-05	0.338977	1e-05	1e-05	1e-05	1e-05	1e-05
NEO194	56.856564810751	40.4223617030308	5575	0.025656	0.650192	1e-05	0.324092	1e-05	1e-05	1e-05	1e-05	1e-05
NEO193	56.7146647269558	40.4927064839751	5453	0.017195	0.642547	1e-05	0.336686	1e-05	1e-05	1e-05	1e-05	0.003521
NEO197	56.7342721736245	40.4898482242599	5245	0.02598	0.642726	1e-05	0.331234	1e-05	1e-05	1e-05	1e-05	1e-05
NEO187	56.7265549682267	40.3725032049231	4940	0.023178	0.638503	1e-05	0.338258	1e-05	1e-05	1e-05	1e-05	1e-05
NEO192	56.8733864176273	40.4524868040811	6841	0.019893	0.636553	1e-05	0.343494	1e-05	1e-05	1e-05	1e-05	1e-05
NEO179	56.7643502586707	40.423757947376	5467	0.017765	0.641759	1e-05	0.339476	1e-05	1e-05	1e-05	1e-05	0.00095
NEO178	56.7811100805365	40.538164976472	5322	0.025105	0.61418	1e-05	0.350317	1e-05	1e-05	1e-05	1e-05	0.010348
NEO184	56.8579172285926	40.3576224194933	5458	0.020187	0.645549	1e-05	0.331164	1e-05	1e-05	1e-05	1e-05	0.003051
NEO171	53.0050438142847	40.3386235129554	5835	0.023435	0.654986	1e-05	0.321079	1e-05	1e-05	1e-05	1e-05	0.000449
NEO166	52.9066194954794	40.3633994577453	5668	0.01843	0.631168	1e-05	0.335972	1e-05	1e-05	1e-05	1e-05	0.01438
NEO167	52.9132692927029	40.3795452115126	5657	0.01869	0.656852	1e-05	0.308109	1e-05	0.01538	1e-05	1e-05	0.000928
NEO163	52.9005758134648	40.3710275181103	5603	0.026699	0.650658	1e-05	0.322541	1e-05	1e-05	1e-05	1e-05	5.2e-05
NEO170	52.9706789453048	40.4278276015073	5562	0.017615	0.65561	1e-05	0.319906	1e-05	1e-05	1e-05	1e-05	0.006819
