Run,Performance,Variable
86,0.66384778012685,Left
87,0.619450317124736,Left
88,0.642706131078224,Left
89,0.649048625792812,Left
90,0.613107822410148,Left
91,0.649048625792812,Left
92,0.659619450317125,Left
93,0.602536997885835,Left
94,0.651162790697675,Left
95,0.653276955602537,Left
96,0.621564482029598,Left
97,0.632135306553911,Left
98,0.659619450317125,Left
99,0.630021141649049,Left
100,0.619450317124736,Left
1,0.687103594080338,Right
2,0.699788583509514,Right
3,0.678646934460888,Right
4,0.691331923890063,Right
5,0.678646934460888,Right
6,0.687103594080338,Right
7,0.674418604651163,Right
8,0.682875264270613,Right
9,0.6723044397463,Right
10,0.661733615221987,Right
11,0.689217758985201,Right
12,0.680761099365751,Right
13,0.670190274841438,Right
14,0.659619450317125,Right
15,0.695560253699789,Right
16,0.695560253699789,Right
17,0.691331923890063,Right
18,0.678646934460888,Right
19,0.712473572938689,Right
20,0.668076109936575,Right
21,0.665961945031713,Right
22,0.682875264270613,Right
23,0.689217758985201,Right
24,0.680761099365751,Right
25,0.6723044397463,Right
26,0.701902748414376,Right
27,0.66384778012685,Right
28,0.676532769556025,Right
29,0.665961945031713,Right
30,0.678646934460888,Right
31,0.687103594080338,Right
32,0.682875264270613,Right
33,0.668076109936575,Right
34,0.689217758985201,Right
35,0.680761099365751,Right
36,0.689217758985201,Right
37,0.72093023255814,Right
38,0.66384778012685,Right
39,0.697674418604651,Right
40,0.701902748414376,Right
41,0.680761099365751,Right
42,0.619450317124736,Right
43,0.6723044397463,Right
44,0.704016913319239,Right
45,0.72093023255814,Right
46,0.712473572938689,Right
47,0.701902748414376,Right
48,0.678646934460888,Right
49,0.689217758985201,Right
50,0.659619450317125,Right
51,0.6723044397463,Right
52,0.665961945031713,Right
53,0.657505285412262,Right
54,0.6723044397463,Right
55,0.665961945031713,Right
56,0.689217758985201,Right
57,0.678646934460888,Right
58,0.693446088794926,Right
59,0.691331923890063,Right
60,0.693446088794926,Right
61,0.6553911205074,Right
62,0.682875264270613,Right
63,0.687103594080338,Right
64,0.684989429175476,Right
65,0.699788583509514,Right
66,0.670190274841438,Right
67,0.674418604651163,Right
68,0.712473572938689,Right
69,0.693446088794926,Right
70,0.674418604651163,Right
71,0.6723044397463,Right
72,0.676532769556025,Right
73,0.676532769556025,Right
74,0.661733615221987,Right
75,0.691331923890063,Right
76,0.661733615221987,Right
77,0.646934460887949,Right
78,0.680761099365751,Right
79,0.674418604651163,Right
80,0.682875264270613,Right
81,0.680761099365751,Right
82,0.689217758985201,Right
83,0.676532769556025,Right
84,0.668076109936575,Right
85,0.6723044397463,Right
86,0.693446088794926,Right
87,0.670190274841438,Right
88,0.682875264270613,Right
89,0.680761099365751,Right
90,0.699788583509514,Right
91,0.687103594080338,Right
92,0.695560253699789,Right
93,0.695560253699789,Right
94,0.689217758985201,Right
95,0.697674418604651,Right
96,0.710359408033827,Right
97,0.6723044397463,Right
98,0.693446088794926,Right
99,0.668076109936575,Right
100,0.657505285412262,Right
1,0.966173361522199,Back
2,0.983086680761099,Back
3,0.972515856236786,Back
4,0.966173361522199,Back
5,0.970401691331924,Back
6,0.972515856236786,Back
7,0.961945031712474,Back
8,0.966173361522199,Back
9,0.970401691331924,Back
10,0.974630021141649,Back
11,0.966173361522199,Back
12,0.970401691331924,Back
13,0.968287526427061,Back
14,0.968287526427061,Back
15,0.968287526427061,Back
16,0.976744186046512,Back
17,0.964059196617336,Back
18,0.970401691331924,Back
19,0.978858350951374,Back
20,0.974630021141649,Back
21,0.978858350951374,Back
22,0.972515856236786,Back
23,0.974630021141649,Back
24,0.964059196617336,Back
25,0.976744186046512,Back
26,0.976744186046512,Back
27,0.961945031712474,Back
28,0.966173361522199,Back
29,0.968287526427061,Back
30,0.976744186046512,Back
31,0.972515856236786,Back
