mean,sd,0.025quant,0.5quant,0.975quant,mode,kld,Variable,Predictors,Type,Effect
4.96802160311989,9.90470223587186,-14.4566212084968,4.96801878960744,24.392680334101,4.96801315925691,5.52778892059585e-11,Right,Linearbandkeramik,Culture,Random
8.29486157350508,9.92536313458814,-11.1702900508632,8.29485507633433,27.7600499590046,8.29484207333426,5.527751708575e-11,Right,Sopot,Culture,Random
-21.6951215392294,17.1087015290679,-55.2479701361667,-21.6951069657381,11.8576446364785,-21.6950777655211,5.52588003952262e-11,Right,Trichterbecher,Culture,Random
13.6957466355395,9.87163042882338,-5.66404570458052,13.6957468143572,33.0555379639696,13.6957471722916,5.52780712451973e-11,Right,Únětice,Culture,Random
2.04525903091493,10.3134415098952,-18.302977112923,2.08553304116115,22.1646997968495,2.16534667709907,1.47923071028482e-09,Back,Baden,Culture,Random
16.4248015744406,13.1600001384161,-9.14618345258969,16.3343562571234,42.5090583428094,16.1546151475632,4.51602855499106e-09,Back,Baltic Meso-Neolithic,Culture,Random
3.76668689594145,10.1109393254153,-16.06245263126,3.76669610360461,23.5957743306521,3.76671453559736,5.52794724583441e-11,Back,Bell Beaker,Culture,Random
-35.2336809242542,15.2831502636766,-65.206289993024,-35.2336840142087,-5.26105437272522,-35.2336901984926,5.52814253122858e-11,Back,Corded Ware,Culture,Random
36.5388307760926,15.9433616419024,5.27145478187253,36.5388243089572,67.8062433603592,36.5388113649853,5.52805889117196e-11,Back,Dnieper-Donets,Culture,Random
-38.4630150430523,18.3838952216978,-74.5166236113772,-38.4630326388522,-2.40930695014787,-38.4630678848386,5.52703120312242e-11,Back,Lažňany,Culture,Random
5.40430832443421,10.3029300031578,-14.8013413378088,5.4043128386811,25.6099324453021,5.40432187350399,5.52785184392064e-11,Back,Linearbandkeramik,Culture,Random
9.42235414957689,10.3579044756993,-10.8911114453926,9.42235954990898,29.7357891902179,9.4223703585881,5.52787197310806e-11,Back,Sopot,Culture,Random
27.3148874867721,15.1240126029013,-2.34561812794161,27.3148808580768,56.9754306027858,27.3148675880777,5.52796836439867e-11,Back,Trichterbecher,Culture,Random
-34.5527199246176,15.0165588534546,-64.00249254861,-34.5527263817668,-5.10291077219081,-34.5527393105709,5.5281358770648e-11,Back,Únětice,Culture,Random
