Run,Performance,Model,Variable
7,0.919418758256275,Baseline,Back
8,0.922060766182299,Baseline,Back
9,0.92998678996037,Baseline,Back
10,0.910171730515192,Baseline,Back
11,0.916776750330251,Baseline,Back
12,0.927344782034346,Baseline,Back
13,0.920739762219287,Baseline,Back
14,0.916776750330251,Baseline,Back
15,0.924702774108322,Baseline,Back
16,0.919418758256275,Baseline,Back
17,0.915455746367239,Baseline,Back
18,0.90885072655218,Baseline,Back
19,0.911492734478203,Baseline,Back
20,0.911492734478203,Baseline,Back
21,0.922060766182299,Baseline,Back
22,0.919418758256275,Baseline,Back
23,0.918097754293263,Baseline,Back
24,0.911492734478203,Baseline,Back
25,0.927344782034346,Baseline,Back
26,0.919418758256275,Baseline,Back
27,0.918097754293263,Baseline,Back
28,0.932628797886394,Baseline,Back
29,0.906208718626156,Baseline,Back
30,0.906208718626156,Baseline,Back
31,0.926023778071334,Baseline,Back
32,0.911492734478203,Baseline,Back
33,0.92998678996037,Baseline,Back
34,0.919418758256275,Baseline,Back
35,0.904887714663144,Baseline,Back
36,0.911492734478203,Baseline,Back
37,0.910171730515192,Baseline,Back
38,0.903566710700132,Baseline,Back
39,0.914134742404227,Baseline,Back
40,0.90885072655218,Baseline,Back
41,0.927344782034346,Baseline,Back
42,0.919418758256275,Baseline,Back
43,0.903566710700132,Baseline,Back
44,0.916776750330251,Baseline,Back
45,0.885072655217966,Baseline,Back
46,0.911492734478203,Baseline,Back
47,0.928665785997358,Baseline,Back
48,0.914134742404227,Baseline,Back
49,0.916776750330251,Baseline,Back
50,0.911492734478203,Baseline,Back
51,0.915455746367239,Baseline,Back
52,0.90885072655218,Baseline,Back
53,0.919418758256275,Baseline,Back
54,0.922060766182299,Baseline,Back
55,0.895640686922061,Baseline,Back
56,0.927344782034346,Baseline,Back
57,0.920739762219287,Baseline,Back
58,0.920739762219287,Baseline,Back
59,0.906208718626156,Baseline,Back
60,0.912813738441215,Baseline,Back
61,0.92338177014531,Baseline,Back
62,0.918097754293263,Baseline,Back
63,0.907529722589168,Baseline,Back
64,0.918097754293263,Baseline,Back
65,0.916776750330251,Baseline,Back
66,0.919418758256275,Baseline,Back
67,0.90885072655218,Baseline,Back
68,0.911492734478203,Baseline,Back
69,0.911492734478203,Baseline,Back
70,0.915455746367239,Baseline,Back
71,0.912813738441215,Baseline,Back
72,0.924702774108322,Baseline,Back
73,0.920739762219287,Baseline,Back
74,0.928665785997358,Baseline,Back
75,0.92338177014531,Baseline,Back
76,0.900924702774108,Baseline,Back
77,0.920739762219287,Baseline,Back
78,0.928665785997358,Baseline,Back
79,0.906208718626156,Baseline,Back
80,0.924702774108322,Baseline,Back
81,0.914134742404227,Baseline,Back
82,0.924702774108322,Baseline,Back
83,0.916776750330251,Baseline,Back
84,0.907529722589168,Baseline,Back
85,0.914134742404227,Baseline,Back
86,0.912813738441215,Baseline,Back
87,0.92338177014531,Baseline,Back
88,0.918097754293263,Baseline,Back
